1,LIV,3,28,7,11,2,10
2,ARS,0,6,2,4,1,20
3,MCI,4,10,6,4,1,10
4,MUN,4,3,1,2,1,10
5,CHE,2,9,6,1,5,12
6,LIV,4,10,1,4,1,11
7,MUN,3,6,1,0,2,6
8,TOT,4,8,4,8,2,14
9,LIV,0,8,3,6,4,11
10,MCI,0,15,10,3,0,15
11,CHE,0,17,8,6,7,21
12,MCI,1,21,10,12,0,5
13,MCI,2,4,2,4,2,7
14,LIV,4,12,4,5,1,17
15,TOT,4,13,5,4,3,19
16,MUN,3,10,2,3,2,8
17,CHE,4,4,3,1,3,16
18,LIV,4,25,11,8,4,12
19,CHE,4,10,5,4,2,11
20,LIV,4,13,1,4,5,13
21,BAR,4,15,6,8,2,12
22,BAR,2,9,5,3,3,9
23,ATM,1,10,5,8,1,15
24,RMA,3,13,4,3,0,15
25,BAY,1,9,1,6,1,13
26,DOR,1,11,5,7,2,7
27,LEV,4,13,3,2,0,11
28,CHE,2,7,1,2,0,11
29,MCI,2,15,4,10,0,10
30,NOT,0,28,19,14,7,22
31,CRY,4,18,16,11,6,21
32,WES,3,16,3,18,3,8
33,LUT,1,29,14,19,5,17
34,FUL,4,16,2,14,5,18
35,VAL,0,20,19,17,5,14
36,TOT,3,24,5,16,1,14
37,BRE,0,21,11,14,1,9
38,BOU,3,22,19,5,0,18
39,BHA,4,16,16,14,0,10
40,MUN,2,28,20,12,7,16
41,NEW,3,19,3,11,1,21
42,EVE,0,28,13,12,1,21
43,CHE,4,12,11,20,1,9
44,NEW,1,11,10,4,6,5
45,ARS,4,16,7,10,0,21
46,TOT,1,27,4,17,6,8
47,FUL,1,22,1,8,6,11
48,CRY,0,13,9,11,3,14
49,WOL,4,28,2,7,3,12
50,NOT,1,19,19,12,2,7
51,WES,3,25,4,9,4,19
52,AST,3,10,9,3,5,20
53,MCI,1,30,28,5,2,6
54,LIV,4,11,7,7,5,13
55,EVE,0,12,7,2,0,9
56,BOU,3,14,5,14,7,19
57,TOT,2,23,1,10,3,21
58,NOT,0,26,20,5,2,19
59,FUL,4,12,3,12,1,20
60,NEW,1,13,12,13,4,10
61,WES,1,11,11,5,1,22
62,WOL,1,17,15,13,2,13
63,AST,1,19,7,13,1,22
64,MUN,2,15,12,16,7,6
65,LIV,0,13,6,15,4,6
66,CRY,2,21,1,17,4,6
67,LUT,2,29,4,4,6,10
68,BHA,0,16,13,5,0,15
69,SHE,1,13,8,8,7,7
70,MCI,1,20,12,3,1,16
71,BRE,2,21,8,8,4,12
72,CHE,4,22,5,16,2,20
73,ARS,0,14,12,20,1,14
74,BUR,2,22,3,19,4,14
75,FUL,0,26,25,8,0,15
76,WOL,3,12,1,19,0,18
77,NOT,2,12,8,17,2,5
78,EVE,1,28,22,3,6,22
79,MUN,1,24,23,13,2,19
80,TOT,1,28,12,10,5,16
81,BOU,2,24,5,10,1,9
82,AST,2,19,13,13,1,17
83,WES,2,22,16,18,1,17
84,NEW,3,14,11,17,1,15
85,BHA,3,13,11,4,1,22
86,ARS,1,20,1,9,4,17
87,LUT,0,17,6,14,6,6
88,CRY,0,19,17,3,6,19
89,BUR,2,17,3,2,3,21
90,SHE,4,17,12,20,7,13
91,MCI,4,26,15,13,3,12
92,LIV,0,25,16,11,6,19
93,BRE,1,12,12,4,2,17
94,CHE,3,25,3,5,6,7
95,BUR,0,23,12,13,3,5
96,TOT,4,17,8,20,5,12
97,CHE,1,26,8,12,6,11
98,BOU,0,29,28,2,1,7
99,SHE,0,10,6,15,0,14
100,BRE,4,12,2,14,4,19
101,NOT,2,15,3,12,4,5
102,LIV,3,16,11,4,0,20
103,NEW,2,22,7,3,4,21
104,AST,1,15,13,6,0,5
