Mã qu?c gia ,,Tên qu?c gia,,Châu l?c,,T? chúc qu?n lý,,,,,,,
,,,,,,,,,,,,,
ESP,,Tây Ban Nha,,Châu Âu,,RFEF,,,,,,Note:,4/6/2024: Thay ??i mã qu?c gia
FRA,,Pháp,,Châu Âu,, Ligue de Football Professionnel,,,,,,,
BRA,,Brazil,,,,,,,,,,,
JAP,,Nh?t B?n,,Châu Á,,,,,,,,,
UKR,,??c,,Châu Âu,,DFL,,,,,,,
ENG,,Anh,,Châu Âu,,EFL,,,,,,,
ITA,,Ý,,Châu Âu,,Lega Serie A,,,,,,,
GHA,,Ghân,,Châu Phi,,,,,,,,,
GER,,??c,,Châu Âu,,DFL,,,,,,,
NOR,,Na Uy,,Châu Âu,,,,,,,,,
BEL,,B?,,Châu Âu,,,,,,,,,
BRA,,Brazil,,Nam M?,,,,,,,,,
ENG,,Argentina,,Nam M?,,,,,,,,,
BRA,,Uruguay,,Nam M?,,,,,,,,,
ENG,,,,,,,,,,,,,
SRB,,Serbia,,Châu ÂU,,,,,,,,,
BRA,,Nh?t B?n,,Châu Á,,,,,,,,,
ENG,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
ARG,,Argentina,,Nam M?,,,,,,,,,
ECU,,Ecuado ,,Nam M?,,,,,,,,,
ENG,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
UKR,,,,,,,,,,,,,
SEN,,Senegal,,Châu Phi,,,,,,,,,
BRA,,,,,,,,,,,,,
NED,,Hà Lan,,Châu Âu,,,,,,,,,
ENG,,,,,,,,,,,,,
SCO,,Scotland,,Châu ÂU,,,,,,,,,
KOR,,Hàn Qu?c,,Châu Á,,,,,,,,,
ARG,,,,,,,,,,,,,
COL,,Colombia,,Nam M?,,,,,,,,,
POR,,B? ?ào Nha,,Châu ÂU,,,,,,,,,
EGY,,Hy L?p,,Châu Phi,,,,,,,,,
NED,,,,,,,,,,,,,
HUN,,Hungary,,Châu Âu,,,,,,,,,
ENG,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
URU,,Uruguay,,Nam M?,,,,,,,,,
BRA,,,,,,,,,,,,,
POR,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
SUI,,Th?y S?,,Châu ÂU,,,,,,,,,
ENG,,,,,,,,,,,,,
NED,,,,,,,,,,,,,
CRO,,Croatia,,Châu Âu,,,,,,,,,
ESP,,,,,,,,,,,,,
POR,,,,,,,,,,,,,
BEL,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
BEL,,,,,,,,,,,,,
ARG,,,,,,,,,,,,,
NOR,,,,,,,,,,,,,
CMR,,Camerun,,Châu Phi,,,,,,,,,
ENG,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,
