Mã c?u th?,,Mã gi?i ??u,,N?m,,Danh hi?u,,Mã qu?c gia ,
,,,,,,,,,
esp000,,EL0001,,2024,,G?ng tay vàng,,ESP,
fra000,,,,,,,,FRA,
bra000,,,,,,,,BRA,
jap000,,,,,,,,JAP,
ukr000,,EL0001,,2022,,Nhà vô ??ch,,UKR,
eng000,,,,,,,,ENG,
ita000,,,,,,,,ITA,
gha000,,,,,,,,GHA,
ger000,,,,,,,,GER,
nor000,,,,,,,,NOR,
bel000,,,,,,,,BEL,
bra001,,,,,,,,BRA,
eng001,,,,,,,,ENG,
bra002,,,,,,,,BRA,
eng002,,,,,,,,ENG,
srb000,,,,,,,,SRB,
bra003,,,,,,,,BRA,
eng003,,,,,,,,ENG,
esp001,,,,,,,,ESP,
eng004,,,,,,,,ENG,
eng005,,,,,,,,ENG,
arg000,,,,,,,,ARG,
ecu000,,,,,,,,ECU,
eng006,,,,,,,,ENG,
eng007,,,,,,,,ENG,
eng008,,,,,,,,ENG,
ukr001,,,,,,,,UKR,
sen000,,,,,,,,SEN,
bra004,,,,,,,,BRA,
ned000,,,,,,,,NED,
eng009,,,,,,,,ENG,
sco000,,,,,,,,SCO,
kor000,,,,,,,,KOR,
arg001,,,,,,,,ARG,
col000,,,,,,,,COL,
por000,,,,,,,,POR,
egy000,,,,,,,,EGY,
ned001,,,,,,,,NED,
hun000,,,,,,,,HUN,
eng010,,,,,,,,ENG,
eng011,,,,,,,,ENG,
uru000,,,,,,,,URU,
bra005,,,,,,,,BRA,
por001,,,,,,,,POR,
eng012,,,,,,,,ENG,
sui000,,,,,,,,SUI,
eng013,,,,,,,,ENG,
ned002,,,,,,,,NED,
cro000,,,,,,,,CRO,
esp002,,,,,,,,ESP,
por002,,,,,,,,POR,
bel001,,,,,,,,BEL,
eng014,,,,,,,,ENG,
eng015,,,,,,,,ENG,
bel002,,,,,,,,BEL,
arg002,,,,,,,,ARG,
nor001,,,,,,,,NOR,
cmr000,,,,,,,,CMR,
eng016,,,,,,,,ENG,
fra001,,,,,,,,FRA,
eng017,,,,,,,,ENG,
arg003,,,,,,,,ARG,
bra006,,,,,,,,BRA,
eng018,,,,,,,,ENG,
por003,,,,,,,,POR,
arg004,,,,,,,,ARG,
eng019,,,,,,,,ENG,
den000,,,,,,,,DEN,
eng020,,,,,,,,ENG,
eng021,,,,,,,,ENG,
ita001,,,,,,,,ITA,
arg005,,,,,,,,ARG,
bra007,,,,,,,,BRA,
swe000,,,,,,,,SWE,
eng022,,,,,,,,ENG,
bra008,,,,,,,,BRA,
jap001,,,,,,,,JAP,
ger001,,,,,,,,GER,
arg006,,,,,,,,ARG,
uru001,,,,,,,,URU,
wal000,,,,,,,,WAL,
ukr002,,,,,,,,UKR,
ger002,,,,,,,,GER,
fra002,,,,,,,,FRA,
esp003,,,,,,,,ESP,
fra003,,,,,,,,FRA,
fra004,,,,,,,,FRA,
uru002,,,,,,,,URU,
ger003,,,,,,,,GER,
eng023,,,,,,,,ENG,
cro001,,,,,,,,CRO,
bra009,,,,,,,,BRA,
bra010,,,,,,,,BRA,
bra011,,,,,,,,BRA,
aut000,,,,,,,,AUT,
ger004,,,,,,,,GER,
esp004,,,,,,,,ESP,
uru003,,,,,,,,URU,
fra005,,,,,,,,FRA,
por004,,,,,,,,POR,
ger005,,,,,,,,GER,
esp005,,,,,,,,ESP,
esp006,,,,,,,,ESP,
por005,,,,,,,,POR,
ned003,,,,,,,,NED,
bra012,,,,,,,,BRA,
esp007,,,,,,,,ESP,
pol000,,,,,,,,POL,
slo000,,,,,,,,SLO,
esp008,,,,,,,,ESP,
uru004,,,,,,,,URU,
uru005,,,,,,,,URU,
mne000,,,,,,,,MNE,
arg007,,,,,,,,ARG,
esp009,,,,,,,,ESP,
esp010,,,,,,,,ESP,
esp011,,,,,,,,ESP,
fra006,,,,,,,,FRA,
esp012,,,,,,,,ESP,
ned004,,,,,,,,NED,
ger006,,,,,,,,GER,
fra007,,,,,,,,FRA,
kor001,,,,,,,,KOR,
ned005,,,,,,,,NED,
eng024,,,,,,,,ENG,
can000,,,,,,,,CAN,
ger007,,,,,,,,GER,
ger008,,,,,,,,GER,
aut001,,,,,,,,AUT,
ger009,,,,,,,,GER,
ger010,,,,,,,,GER,
ger011,,,,,,,,GER,
ger012,,,,,,,,GER,
ger013,,,,,,,,GER,
eng025,,,,,,,,ENG,
sui001,,,,,,,,SUI,
ger014,,,,,,,,GER,
ger015,,,,,,,,GER,
ned006,,,,,,,,NED,
ger016,,,,,,,,GER,
aut002,,,,,,,,AUT,
eng026,,,,,,,,ENG,
ger017,,,,,,,,GER,
ger018,,,,,,,,GER,
ger019,,,,,,,,GER,
ger020,,,,,,,,GER,
ger021,,,,,,,,GER,
ger022,,,,,,,,GER,
bur000,,,,,,,,BUR,
ecu001,,,,,,,,ECU,
sui002,,,,,,,,SUI,
esp013,,,,,,,,ESP,
ned007,,,,,,,,NED,
ger023,,,,,,,,GER,
cro002,,,,,,,,CRO,
ger024,,,,,,,,GER,
mar000,,,,,,,,MAR,
sui003,,,,,,,,SUI,
fra008,,,,,,,,FRA,
ita002,,,,,,,,ITA,
ned008,,,,,,,,NED,
tur000,,,,,,,,TUR,
col001,,,,,,,,COL,
ned009,,,,,,,,NED,
ita003,,,,,,,,ITA,
ita004,,,,,,,,ITA,
bra013,,,,,,,,BRA,
ita005,,,,,,,,ITA,
fra009,,,,,,,,FRA,
chi000,,,,,,,,CHI,
arg008,,,,,,,,ARG,
ita006,,,,,,,,ITA,
mar001,,,,,,,,MAR,
fra010,,,,,,,,FRA,
svk000,,,,,,,,SVK,
bra014,,,,,,,,BRA,
por006,,,,,,,,POR,
por007,,,,,,,,POR,
kor002,,,,,,,,KOR,
por008,,,,,,,,POR,
fra011,,,,,,,,FRA,
fra012,,,,,,,,FRA,
esp014,,,,,,,,ESP,
uru006,,,,,,,,URU,
esp015,,,,,,,,ESP,
por009,,,,,,,,POR,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
