Mã chuy?n nh??ng,,Mã CLB,S? áo,V? trí,Ngày chuy?n t?i,Ngày r?i ?i,L??ng,Mã c?u th?,,,,,,,,,,,,,,
,,,,,,,,,,,GK :goalkepper,,,,,,,,,,,
ARS001,,ARS,22,GK,,,,esp000,,,CB: centre back,,,,,,,,,,,
ARS002,,ARS,2,CB,,,,fra000,,,LB: left back,,,,,,,,,,,
ARS003,,ARS,6,CB,,,,bra000,,,RB: right back,,,,,,,,,,,
ARS004,,ARS,18,RB,,,,jap000,,,,,,,,,,,,,,
ARS005,,ARS,35,LB,,,,ukr000,,,,,,,,,,,,,,
ARS006,,ARS,41,DM,,,,eng000,,,,Note:,5/6/2024: Thay mã c?u th?  c? b?ng mã chuy?n nh??ng ( do thi?u khóa chính),,,,,,,,,
ARS007,,ARS,20,CM,,,,ita000,,,,,,,,,,,,,,
ARS008,,ARS,5,DM,,,,gha000,,,,,,,,,,,,,,
ARS009,,ARS,29,AM,,,,ger000,,,,,,,,,,,,,,
ARS010,,ARS,8,AM,,,,nor000,,,,,,,,,,,,,,
ARS011,,ARS,19,LW,,,,bel000,,,DM: defensive mifieldder,,,,,,,,,,,
ARS012,,ARS,11,LW,,,,bra001,,,CM: central midfielder,,,,,,,,,,,
ARS013,,ARS,7,RW,,,,eng001,,,AM: Attacking midfielder,,,,,,,,,,,
ARS014,,ARS,9,ST,,,,bra002,,,,,,,,,,,,,,
ARS015,,ARS,4,CB,,,,eng002,,,,,,,,,,,,,,
CHE001,,CHE,28,GK,,,,srb000,,,,,,,,,,,,,,
CHE002,,CHE,6,CB,,,,bra003,,,LW: left winger,,,,,,,,,,,
CHE003,,CHE,14,CB,,,,eng003,,,RW: right winger,,,,,,,,,,,
CHE004,,CHE,3,CB,,,,esp001,,,ST: Striker,,,,,,,,,,,
CHE005,,CHE,21,LB,,,,eng004,,,,,,,,,,,,,,
CHE006,,CHE,24,RB,,,,eng005,,,,,,,,,,,,,,
CHE009,,CHE,8,CM,,,,arg000,,,,,,,,,,,,,,
CHE010,,CHE,25,DM,,,,ecu000,,,,,,,,,,,,,,
CHE011,,CHE,20,AM,,,,eng006,,,,,,,,,,,,,,
CHE012,,CHE,7,LW,,,,eng007,,,,,,,,,,,,,,
CHE013,,CHE,15,ST,,,,sen000,,,,,,,,,,,,,,
LIV001,,LIV,1,GK,,,,bra004,,,,,,,,,,,,,,
LIV002,,LIV,4,CB,,,,ned000,,,,,,,,,,,,,,
LIV003,,LIV,66,RB,,,,eng008,,,,,,,,,,,,,,
LIV004,,LIV,26,LB,,,,sco000,,,,,,,,,,,,,,
LIV005,,LIV,3,DM,,,,kor000,,,,,,,,,,,,,,
LIV006,,LIV,10,CM,,,,arg001,,,,,,,,,,,,,,
LIV007,,LIV,7,LW,,,,col000,,,,,,,,,,,,,,
LIV008,,LIV,20,LW,,,,por000,,,,,,,,,,,,,,
LIV009,,LIV,11,RW,,,,egy000,,,,,,,,,,,,,,
LIV010,,LIV,18,ST,,,,ned001,,,,,,,,,,,,,,
LIV011,,LIV,8,CM,,,,hun000,,,,,,,,,,,,,,
LIV012,,LIV,19,CM,,,,eng009,,,,,,,,,,,,,,
LIV013,,LIV,17,CM,,,,eng010,,,,,,,,,,,,,,
LIV014,,LIV,9,ST,,,,uru000,,,,,,,,,,,,,,
MCI001,,MCI,31,GK,,,,bra005,,,,,,,,,,,,,,
MCI002,,MCI,3,CB,,,,por001,,,,,,,,,,,,,,
MCI003,,MCI,2,RB,,,,eng011,,,,,,,,,,,,,,
MCI004,,MCI,25,CB,,,,sui000,,,,,,,,,,,,,,
MCI005,,MCI,5,CB,,,,eng012,,,,,,,,,,,,,,
MCI006,,MCI,6,CB,,,,ned002,,,,,,,,,,,,,,
MCI007,,MCI,24,LB,,,,cro000,,,,,,,,,,,,,,
MCI008,,MCI,16,DM,,,,esp002,,,,,,,,,,,,,,
MCI009,,MCI,20,AM,,,,por002,,,,,,,,,,,,,,
MCI010,,MCI,17,AM,,,,bel001,,,,,,,,,,,,,,
