1,MUN,2,38,9,5,6,3,9
2,MCI,1,73,12,1,7,2,9
3,LIV,4,53,19,6,7,6,6
4,MCI,3,73,27,8,15,0,5
5,MCI,0,71,31,5,12,0,7
6,ARS,2,42,15,7,2,3,11
7,LIV,1,69,34,8,12,4,13
8,MCI,0,55,17,4,10,2,14
9,MCI,1,60,16,5,9,3,9
10,CHE,4,45,17,9,3,1,13
11,TOT,0,38,8,5,1,3,12
12,MUN,4,39,7,3,7,4,9
13,ARS,2,49,12,2,5,2,8
14,WOL,2,65,24,8,11,4,11
15,ARS,0,46,13,6,11,2,12
16,ARS,3,55,17,5,12,2,8
17,LIV,2,51,28,13,8,3,15
18,MUN,3,41,28,11,5,3,11
19,MCI,3,63,14,3,8,3,9
20,CHE,1,65,10,4,4,3,5
21,RMA,0,46,14,8,2,1,11
22,ATM,2,40,13,3,7,8,15
23,RMA,1,55,17,4,2,2,6
24,BAR,4,52,15,3,6,1,15
25,LEV,4,39,14,8,4,3,13
26,BAY,1,61,17,2,7,2,7
27,DOR,1,48,8,2,2,0,14
28,ARS,2,44,27,10,4,3,12
29,BUR,1,38,22,5,2,7,16
30,ARS,2,40,27,11,10,5,20
31,SHE,2,70,17,1,16,3,13
32,BOU,1,61,22,16,3,1,19
33,BHA,3,71,30,17,17,5,15
34,EVE,2,23,13,8,19,4,21
35,NEW,3,52,24,10,13,3,13
36,BRE,3,32,26,23,8,1,20
37,FUL,3,47,24,23,11,2,9
38,LIV,0,38,10,8,14,4,13
39,WOL,3,72,10,1,19,1,9
40,TOT,1,42,13,2,16,5,10
41,MCI,4,40,11,8,16,3,7
42,AST,2,69,12,7,6,6,18
43,WES,3,26,29,11,15,4,6
44,MCI,2,28,13,9,11,2,17
45,CRY,3,74,28,25,20,3,12
46,BOU,4,59,25,19,3,5,22
47,ARS,1,61,15,12,9,3,16
48,BRE,2,53,20,1,15,5,11
49,EVE,1,21,22,12,5,4,19
50,MUN,1,24,14,12,11,4,13
51,BHA,3,29,22,1,4,2,11
52,BUR,0,52,15,7,5,4,5
53,SHE,3,68,11,7,5,2,9
54,NEW,1,70,21,2,6,1,17
55,SHE,4,63,30,3,8,0,15
56,BRE,4,59,20,16,13,2,15
57,BUR,0,65,25,6,19,2,11
58,CHE,1,16,11,6,20,6,11
59,MCI,4,30,13,9,11,5,8
60,BHA,1,21,18,12,15,4,6
61,LUT,4,28,10,10,13,2,13
62,CRY,4,74,22,3,5,1,9
63,LIV,4,75,14,7,17,3,10
64,ARS,0,50,14,1,19,2,15
65,WOL,1,15,11,10,3,3,9
66,AST,0,22,20,3,10,3,14
67,FUL,2,31,18,1,10,2,18
68,MUN,3,44,10,6,6,0,10
69,TOT,2,66,12,10,16,2,18
70,WES,2,18,26,23,16,6,18
