ESP,Tây Ban Nha,Châu Âu
FRA,Pháp,Châu Âu
BRA,Brazil,
JAP,Nhật Bản,Châu Á
UKR,Đức,Châu Âu
ENG,Anh,Châu Âu,EFL
ITA,Ý,Châu Âu,Lega Serie A
GHA,Ghân,Châu Phi
GER,Đức,Châu Âu,DFL
NOR,Na Uy,Châu Âu
BEL,Bỉ,Châu Âu
SRB,Serbia,Châu ÂU
ARG,Argentina,Nam Mỹ
ECU,Ecuado,Nam Mỹ
SEN,Senegal,Châu Phi
NED,Hà Lan,Châu Âu
SCO,Scotland,Châu ÂU
KOR,Hàn Quốc,Châu Á
COL,Colombia,Nam Mỹ
POR,Bồ Đào Nha,Châu ÂU
EGY,Hy Lạp,Châu Phi
HUN,Hungary,Châu Âu
URU,Uruguay,Nam Mỹ
SUI,Thụy Sỹ,Châu ÂU
CRO,Croatia,Châu Âu
CMR,Camerun,Châu Phi
DEN,Đan Mạch,Châu Âu
SWE,Thụy Điển,Châu Âu
WAL,Xứ Wales,Châu Âu
AUT,Áo,Châu Âu
POL,Bồ Đào Nha,Châu Âu
SLO,Slovenia,Châu Âu
MNE,Montenegro,Châu Âu
CAN,Canada,Bắc Mỹ
BUR,Burundi,Châu Phi
MAR,Morocoo,Châu Phi
TUR,Thổ Nhĩ Kỳ,Châu Âu
CHI,Chile,Nam Mỹ
SVK,Slovakia,Châu Âu





